inst , E1   ,   E2   ,  E3 , inst,    E1    ,  E2   ,  E3                     ,
p38    ,    98.3    ,   102.9   ,  6.0   ,   p300_04,    81.6     ,  73.3    ,  30.6  ,
p39    ,    58.4    ,   56.0    ,  6.0   ,   p300_05,    60.7     ,  752.7   ,  11.7  ,
p40    ,    347.4   ,   76.5    ,  6.2   ,   p300_06,       -     ,     -    ,     -  ,
p41    ,    226.3   ,   60.0    ,  6.9   ,   p300_07,       -     ,     -    ,  177.5 ,
p42    ,    191.2   ,   61.8    ,  6.2   ,   p300_08,    275.8    ,  280.6   ,  54.9  ,
p43    ,    154.7   ,   69.0    ,  6.9   ,   p300_09,       -     ,     -    ,     -  ,
p44    ,    1287.8  ,   102.1   ,  7.1   ,   p300_10,    213.7    ,  405.6   ,  22.0  ,
p45    ,    123.0   ,   101.5   ,  8.8   ,   p400_01,       -     ,     -    ,     -  ,
p46    ,    282.7   ,   71.3    ,  11.6  ,   p400_02,       -     ,     -    ,     -  ,
p47    ,    900.7   ,   85.0    ,  7.0   ,   p400_03,       -     ,  926.3   ,  103.6 ,
p48    ,    86.9    ,   129.3   ,  6.7   ,   p400_04,    790.9    ,  205.6   ,  73.8  ,
p49    ,    174.4   ,   61.5    ,  10.1  ,   p400_05,       -     ,     -    ,  709.7 ,
p50    ,    238.6   ,   98.3    ,  10.8  ,   p400_06,       -     ,     -    ,  647.9 ,
p51    ,    507.0   ,   109.0   ,  7.0   ,   p400_07,       -     ,     -    ,     -  ,
p52    ,    718.5   ,   90.1    ,  6.1   ,   p400_08,       -     ,     -    ,     -  ,
p53    ,    117.6   ,   61.6    ,  7.0   ,   p400_09,    535.4    ,  640.4   ,  247.6 ,
